Exporter Details,Country of Origin,Vessel Name,Voyage No,Port of Loading (POL),Port of Discharge (POD),Final Destination (Country),Product Code,Description of Goods,HS Code,Unit Quantity,Unit Type,Price (per unit),Currency
EXP-64213,France,Atlantic Voyager,VY-9616,"Main Port, France","Casa Port, Morocco",Morocco,PROD-80876,"Lobster, prepared or preserved (excl. merely smoked; lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pâtés, soups or sauces)",16053090,345,TON,316.85,EUR
EXP-66348,United States,Atlantic Voyager,VY-7305,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-75075,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, value of <= 30 € per 100 kg, containing added sugar (excl. containing spirit, mixtures, lemon, orange and grapefruit juice)",20093191,217,LITRE,41.85,USD
EXP-23407,South Korea,Global Trader,VY-8640,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-62915,"Fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets, picked dogfish ""Squalus acanthias"", catsharks ""Scyliorhinus spp."", porbeagle shark ""Lamna nasus"" and blue shark ""Prionace glauca"")",160249,100,KG,108.79,KRW
EXP-14219,Canada,Voyager Titan,VY-7083,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-24973,"Fruit stones and kernels and other vegetable products, of a kind used primarily for human consumption, n.e.s.",12129995,110,TON,108.49,CAD
EXP-57943,France,Sea Pioneer,VY-9658,"Main Port, France","Casa Port, Morocco",Morocco,PROD-67036,"Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, lesser or Greenland halibut, Atlantic halibut, mackerel, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)",3054980,266,KG,206.82,EUR
EXP-72277,Brazil,Sea Pioneer,VY-6434,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-68512,"Fresh or chilled fillets of dogfish and other sharks (excl. picked dogfish ""Squalus acanthias"", catsharks ""Scyliorhinus spp."", porbeagle shark ""Lamna nasus"" and blue shark ""Prionace glauca"")",3044790,177,KG,389.1,BRL
EXP-51700,China,Voyager Titan,VY-6057,"Main Port, China","Casa Port, Morocco",Morocco,PROD-58613,"Frozen fish fillets, n.e.s.",3048990,443,TON,423.06,CNY
EXP-20476,United Kingdom,Sea Pioneer,VY-4245,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-12929,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",15119019,232,TON,374.87,GBP
EXP-67679,Turkey,Neptune Carrier,VY-3656,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-53375,"Milk and cream of a fat content by weight of > 45%, not concentrated nor containing added sugar or other sweetening matter (excl. in immediate packings of <= 2 l)",4015099,40,LITRE,331.51,TRY
EXP-22256,Netherlands,Pacific Challenger,VY-6892,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-84208,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",30890,169,PCS,31.55,EUR
EXP-44642,Belgium,Blue Horizon,VY-8706,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-34709,"Frozen meat, whether or not minced, of toothfish ""Dissostichus spp."" (excl. fillets)",11041950,252,PCS,381.0,EUR
EXP-98110,France,Global Trader,VY-5410,"Main Port, France","Casa Port, Morocco",Morocco,PROD-17182,"Frozen fins of shortfin Mako shark ""Isurus Oxyrinchus""",3039250,425,TON,61.1,EUR
EXP-62478,France,Ocean Explorer,VY-4110,"Main Port, France","Casa Port, Morocco",Morocco,PROD-14485,Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding),1029091,72,PCS,190.94,EUR
EXP-56667,China,Atlantic Voyager,VY-6157,"Main Port, China","Casa Port, Morocco",Morocco,PROD-71703,"Squid ""Loligo gahi"", frozen",3074335,393,KG,264.06,CNY
EXP-66054,China,Voyager Titan,VY-9646,"Main Port, China","Casa Port, Morocco",Morocco,PROD-36811,Groats and meal of rye or barley,15162096,472,KG,57.96,CNY
EXP-32006,Japan,Ocean Explorer,VY-1891,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-84910,"Scallops and other molluscs of the family Pectinidae, frozen, even in shell",5059000,390,TON,382.02,JPY
EXP-44831,Turkey,Maritime Legend,VY-6531,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-96369,Poppy seeds for sowing,12079110,293,M3,269.94,TRY
EXP-29354,Italy,Ocean Explorer,VY-1986,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-51486,"Plants and parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered (excl. ginseng roots, coca leaf, poppy straw, ephedra, tonquin beans and bark of African cherry)",12119086,271,PCS,37.84,EUR
EXP-30919,Italy,Global Trader,VY-2781,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-14297,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",20690,51,LITRE,329.0,EUR
EXP-14089,Spain,Sea Pioneer,VY-5900,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-95930,"20079939
                            


                        Jams, jellies, marmalades, fruit purées or pastes, obtained by cooking, with sugar content of > 30% by weight (excl. raspberries, strawberries, cherries and citrus fruits, chestnut purée and paste, homogenised preparations of subheading 200710, and plum purée and paste, in packings of > 100 kg, for industrial processing)",200710,200,LITRE,329.14,EUR
EXP-49128,Belgium,Blue Horizon,VY-5900,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-59886,"Prepared or preserved domestic swine loins and parts thereof, incl. mixtures of loins or hams (excl. collars)",16024911,424,LITRE,13.22,EUR
EXP-14013,United States,Pacific Challenger,VY-3808,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-43033,"Frozen fillets of flounder ""Platichthys flesus""",3048330,132,LITRE,216.26,USD
EXP-44092,France,Neptune Carrier,VY-9658,"Main Port, France","Casa Port, Morocco",Morocco,PROD-37104,"Mixtures of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya, incl. mixtures containing >= 50% by weight of these fruits and coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, prepared or preserved, containing added spirit, with sugar content of > 9% by weight and of an actual alcoholic strength of > 11,85% mas",20089716,160,TON,250.79,EUR
EXP-91582,Spain,Sea Pioneer,VY-9281,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-10960,"Mixtures of edible and dried nuts, bananas, dates, pineapples, avocados, guavas, mangoes, mangosteens, citrus fruit and grapes, not containing plums or figs (excl. mixtures exclusively of nuts of heading 0801 and 0802)",8135091,309,TON,68.2,EUR
EXP-61216,France,Global Trader,VY-6157,"Main Port, France","Casa Port, Morocco",Morocco,PROD-16206,"Mixtures of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya, incl. mixtures containing >= 50% by weight of these fruits and coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, prepared or preserved, not containing added spirit but containing added sugar, in immediate packings of a net content of <= 1 kg (excl. mixtures, in which the weight of no single fruit exceeds 50% of the total weight of the fruits)",20089776,246,TON,450.92,EUR
EXP-65465,Japan,Neptune Carrier,VY-5767,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-32116,"Mixtures of fruit juices, incl. grape must and juices of vegetables, unfermented, Brix value <= 67 at 20°C, value of <= € 30 per 100 kg (excl. containing added sugar or containing spirit and mixtures of apple and pear juices or of citrus fruit and pineapple juices and of juices of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya)",20049091,400,M3,256.43,JPY
EXP-73237,Italy,Ocean Explorer,VY-9616,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-84020,Palm nuts and kernels,12071000,207,KG,204.31,EUR
EXP-99460,United States,Voyager Titan,VY-4961,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-72833,"Yams, sweet potatoes and similar parts of plants containing >= 5% starch, prepared or preserved by vinegar or acetic acid",20019040,90,KG,174.41,USD
EXP-92888,India,Pacific Challenger,VY-1744,"Main Port, India","Casa Port, Morocco",Morocco,PROD-76787,"Vegetable products, n.e.s.",1404,156,M3,408.04,INR
EXP-64166,Brazil,Global Trader,VY-5389,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-67623,"Whey and modified whey, whether or not concentrated, containing added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"", by weight of > 15% and of a fat content, by weight, of > 1,5% and <= 27% (excl. in powder, granules or other solid forms)",4041082,310,M3,5.36,BRL
EXP-28252,France,Sea Pioneer,VY-4622,"Main Port, France","Casa Port, Morocco",Morocco,PROD-68691,"Cranberries ""Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"", prepared or preserved, containing added spirit, with a sugar content of > 9% by weight and of an actual alcoholic strength of <= 11,85% mas (excl. preserved with sugar but not laid in syrup, jams, jellies, marmalades, purée and pastes, obtained by cooking)",20089311,435,LITRE,356.93,EUR
EXP-76425,Russia,Maritime Legend,VY-8930,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-39744,"Fresh or chilled trout of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each",3021120,387,M3,478.88,RUB
EXP-70146,Italy,Blue Horizon,VY-6642,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-46202,"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened (excl. strawberries, raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries)",81190,448,KG,58.81,EUR
EXP-88050,Japan,Voyager Titan,VY-2388,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-95650,"Frozen meat of lambs, boneless, frozen",2044310,246,PCS,210.31,JPY
EXP-90533,Turkey,Blue Horizon,VY-7555,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-73880,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita and Oncorhynchus gilae"" (excl. of Oncorhynchus mykiss weighing > 400 g each)",3023519,228,KG,246.26,TRY
EXP-63498,Germany,Blue Horizon,VY-4380,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-51183,"19011000
                            


                        Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or malt extract, not containing cocoa or containing < 40% by weight of cocoa calculated on a totally defatted basis, n.e.s. and of milk, sour cream, whey, yogurt, kephir or similar goods of heading 0401 to 0404, not containing cocoa or containing < 5% by weight of cocoa calculated on a totally defatted basis, n.e.s.",404,236,PCS,472.14,EUR
EXP-20142,Japan,Ocean Explorer,VY-4245,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-56891,Fresh or chilled chicory (excl. witloof chicory),7052900,478,KG,315.35,JPY
EXP-22683,Spain,Neptune Carrier,VY-4695,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-63184,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh, suitable for bouquets or ornamental purposes (excl. Christmas trees and conifer branches)",6042090,462,LITRE,233.84,EUR
EXP-70626,Canada,Horizon Express,VY-6892,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-33635,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified",1512,225,KG,240.55,CAD
EXP-77472,Belgium,Maritime Legend,VY-9616,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-22229,"Flavoured or coloured sugar syrups (excl. isoglucose, lactose, glucose and maltodextrine syrups)",21069059,188,TON,397.98,EUR
EXP-82889,Japan,Blue Horizon,VY-2692,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-18488,"Fresh or chilled domestic ducks, not cut in pieces",20741,293,TON,23.17,JPY
EXP-23584,United Kingdom,Global Trader,VY-8930,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-61445,"Frozen meat, whether or not minced, of blue whiting ""Micromesistius poutassou"" (excl. fillets and surimi)",6042090,159,KG,82.12,GBP
EXP-69523,China,Atlantic Voyager,VY-4990,"Main Port, China","Casa Port, Morocco",Morocco,PROD-69353,"Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils, with a milkfat content, by weight, of > 10% and <= 15% (excl. fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, mixtures of olive oils, olive oil fractions and fixed margarine)",15179010,401,PCS,164.98,CNY
EXP-15376,Netherlands,Neptune Carrier,VY-7485,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-14586,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",1508,174,PCS,224.73,EUR
EXP-37305,South Korea,Global Trader,VY-2823,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-47361,"Milk and cream, concentrated, of a fat content by weight of > 45%, sweetened, in immediate packings of <= 2,5 kg (excl. in solid forms)",4029991,33,M3,85.03,KRW
EXP-65728,Japan,Neptune Carrier,VY-2388,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-35977,"Vegetables, whether or not cooked by boiling in water or by steaming, frozen (excl. potatoes, leguminous vegetables, spinach, New Zealand spinach, orache spinach, sweetcorn, olives, fruits of the genus Capsicum or of the genus Pimenta, mushrooms, tomatoes, globe artichokes and asparagus)",7108095,93,KG,469.88,JPY
EXP-93950,Spain,Sea Pioneer,VY-1054,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-72954,"Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)",15141990,160,TON,329.94,EUR
EXP-59250,Netherlands,Maritime Legend,VY-2851,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-43853,"Pear juice, unfermented, Brix value <= 67 at 20°C, value of > 18 € per 100 kg, containing added sugar (excl. containing spirit)",20098950,83,KG,387.18,EUR
EXP-71251,United Kingdom,Global Trader,VY-5809,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-71186,"Prepared or preserved meat or offal of bovine animals, uncooked, incl. mixtures of cooked meat or offal and uncooked meat or offal (excl. sausages and similar products, and preparations of liver)",16025010,58,PCS,176.8,GBP
EXP-22817,Germany,Pacific Challenger,VY-1891,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-80491,"Prepared or preserved meat or offal of goats (excl. sausages and similar products, finely homogenised preparations put up for retail sale as infant food or for dietetic purposes in containers of a net weight of <= 250 g, preparations of liver, meat extracts, juices, and containing meat or offal of bovines or domestic swine)",16029095,291,KG,436.58,EUR
EXP-21345,Germany,Pacific Challenger,VY-4245,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-57224,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, value of <= 30 € per 100 kg, containing added sugar (excl. containing spirit, mixtures, lemon, orange and grapefruit juice)",20093191,23,KG,490.15,EUR
EXP-48846,Germany,Maritime Legend,VY-2463,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-13053,"PREPARATIONS OF MEAT, OF FISH, OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES, OR OF INSECTS",16,140,KG,367.08,EUR
EXP-81277,Italy,Maritime Legend,VY-2113,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-83585,"Fresh or dried pine nuts, shelled",8029200,3,KG,397.46,EUR
EXP-71758,Russia,Maritime Legend,VY-2781,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-40133,"Groats and meal of maize, ""corn"", with a fat content, by weight, of > 1,5%",11031390,327,PCS,233.99,RUB
EXP-29842,Brazil,Pacific Challenger,VY-6128,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-58618,Frozen livers of domestic geese (excl. fatty),2075595,214,LITRE,123.2,BRL
EXP-81727,Netherlands,Sea Pioneer,VY-8640,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-46760,"Live eels ""Anguilla spp."", of a length of < 12 cm",3057190,394,M3,489.71,EUR
EXP-66850,Canada,Neptune Carrier,VY-9958,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-28512,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",40221,130,LITRE,120.6,CAD
EXP-29169,Turkey,Horizon Express,VY-6413,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-39612,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae""",3019190,243,KG,432.2,TRY
EXP-50524,Belgium,Maritime Legend,VY-7083,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-17311,"Sesame oil and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude)",15155091,251,PCS,37.87,EUR
